alpha,alpha_dot,beta,beta_dot,P,Q,R,M,h,delta_a,delta_e,delta_r,CD,CC,CL,Cl,Cm,Cn,CD_a,CD_a_dot,CD_b,CD_P,CD_Q,CD_R,CD_delta_a,CD_delta_e,CD_delta_r,CC_a,CC_b,CC_b_dot,CC_P,CC_Q,CC_R,CC_delta_a,CC_delta_e,CC_delta_r,CL_a,CL_a_dot,CL_b,CL_P,CL_Q,CL_R,CL_delta_a,CL_delta_e,CL_delta_r,Cl_a,Cl_b,Cl_P,Cl_Q,Cl_R, Cl_delta_a,Cl_delta_e,Cl_delta_r,Cm_a,Cm_a_dot,Cm_b,Cm_P,Cm_Q,Cm_R,Cm_delta_a,Cm_delta_e,Cm_delta_r,Cn_a,Cn_b,Cn_b_dot,Cn_P,Cn_Q,Cn_R,Cn_delta_a,Cn_delta_e,Cn_delta_r

-10,0,0,0,0,0,0,0.8,10000,0,-21.5,0,0.165992812701198,4.2848007900532e-17,-1.04584177192583,1.20976223275797e-17,0.868738306036881,2.59656284104149e-17,-1.39412631852187,-0.431067816741977,5.8254025769866e-05,1.49723770993525e-06,-1.9515714981411,1.39677713311674e-06,3.14911846599486e-05,-0.210278169253952,1.27462412846668e-05,-2.41020044440493e-13,-0.892576408011085,0.0654791774721198,0.112548429908052,0,-0.983858535377459,0.0624217779940107,8.03400148134975e-14,-0.379261378874153,5.19310212157897,2.71595331114222,-2.57246512980203e-05,-7.38508324336825e-09,6.39586637854749,-3.80976516522965e-07,1.74125847074436e-05,0.299874435507608,-4.82240913868281e-06,-3.05391197781585e-13,0.113545537181716,-0.512007479610386,-2.50490269449589e-11,0.133953224271449,0.245088914321404,-3.85058466768085e-13,0.08991964065986,-3.55426950481186,3.81907867362459,8.43427405694541e-05,6.09562426436745e-07,-9.08434915809571,1.79650941660699e-06,-1.48812262512621e-05,-0.560346099751641,2.35546260274333e-05,-1.71137096341371e-13,-0.686998450372775,0.0739922798314734,0.0599810015009385,1.11329008644262e-11,-0.78279226815937,0.0769678210817679,2.95063959209261e-14,-0.314739692783346
-8.83333333333333,0,0,0,0,0,0,0.8,10000,0,-21.5,0,0.138119460282987,-4.01700074067488e-18,-0.936288997492484,2.21297969406946e-19,0.790176492061939,-1.06223025315334e-17,-1.244433819452,-0.401276818867181,5.8046001061296e-05,1.49010172672192e-06,-1.77526357576739,1.3853331846781e-06,3.16157205970669e-05,-0.203833448546853,1.24144203250687e-05,-4.01700074067488e-14,-0.88956295851009,0.0654791774721198,0.1125220141873,-1.08259508834498e-11,-0.97841646682095,0.0656473072755054,1.20510022220246e-13,-0.374655116970122,5.26457375036649,2.72018924548611,-2.70972333460406e-05,-3.15917449855197e-08,6.40788929463603,-4.09637672919847e-07,1.58168056429986e-05,0.310803036166485,-5.00076535736582e-06,5.05297030145859e-13,0.113402613018975,-0.511687523368741,4.17483782415981e-12,0.133126299990149,0.243811597114172,3.68829949011576e-14,0.0886363441693983,-3.55470331619867,3.81907867362459,8.49577741490748e-05,5.99129531061193e-07,-9.04486191855801,1.7975644284989e-06,-1.43163225718723e-05,-0.571844755768991,2.31515495663359e-05,9.14698273548708e-14,-0.684415014642728,0.0739922798314734,0.0619403139659295,1.66993512966392e-11,-0.777885620850107,0.0766181258422484,0,-0.310913108504062
-7.66666666666667,0,0,0,0,0,0,0.8,10000,0,-21.5,0,0.113230321416495,8.03400148134975e-18,-0.825434449557387,-3.68829949011576e-19,0.711739228854469,1.44581340012538e-17,-1.09290955799923,-0.373675251504382,5.77527566048008e-05,1.48370571712722e-06,-1.59486398206654,1.3730833243776e-06,3.16944762102089e-05,-0.196534739404924,1.2073160388093e-05,0,-0.886305162255002,0.0654791774721198,0.110777334643118,-1.80432514724164e-12,-0.972839292093992,0.0686088339538711,-4.01700074067488e-14,-0.369880491047157,5.32910885044924,2.72404442273184,-2.84367296377042e-05,-5.50364536946253e-08,6.42313269847513,-4.38591888175592e-07,1.42231959543437e-05,0.32177603610406,-5.16300890929244e-06,9.2207487252894e-14,0.113125496676164,-0.511347075522857,8.84668015119579e-12,0.132235092836006,0.242343547375002,3.24570355130187e-13,0.087326608891962,-3.55284492352448,3.81907867362459,8.54790072057909e-05,5.87055506076003e-07,-9.01492863909141,1.79867805216258e-06,-1.37746314354814e-05,-0.583603219403983,2.27308838418594e-05,-1.2392686286789e-13,-0.681367600447877,0.0739922798314734,0.0624496322462092,-7.15686484141682e-12,-0.772598368502555,0.075966692736092,-2.95063959209261e-14,-0.306936622290373
-6.5,0,0,0,0,0,0,0.8,10000,0,-21.5,0,0.0912615643175311,8.70350160479556e-18,-0.714544929493104,-7.96672689865004e-18,0.635629195265317,1.4753197960463e-19,-0.938303623892189,-0.348374081660204,5.73740339959716e-05,1.47581510735231e-06,-1.40763693173228,1.35985904337137e-06,3.17365020374716e-05,-0.188326504408642,1.17233642238368e-05,-1.33900024689163e-13,-0.882916489398195,0.0654791774721198,0.108036321447038,-3.78908280920744e-11,-0.967326080573802,0.0713489561222799,1.94155035799286e-13,-0.364943289621844,5.39673911780669,2.72764263333252,-2.97102187296616e-05,-7.34991618030459e-08,6.4518208673237,-4.67546103431338e-07,1.28758415041119e-05,0.334094110804317,-5.30898547346226e-06,-7.00776903121994e-14,0.112417818327571,-0.509905852705278,-2.34586125357551e-11,0.130824604027972,0.240969664814458,1.15074944091612e-13,0.0859778084796704,-3.5686771103316,3.81907867362459,8.58472459785986e-05,5.65662209378944e-07,-9.0169000431798,1.80084668771817e-06,-1.37595401739077e-05,-0.598334510113485,2.22936114013805e-05,-1.22451543071843e-13,-0.677977842420098,0.0739922798314734,0.0615377577797982,-2.78322521610654e-11,-0.767073552329388,0.0748880715284863,2.52279685123918e-13,-0.302813789954816
-5.33333333333333,0,0,0,0,0,0,0.8,10000,0,-21.5,0,0.0733308594155275,-1.94155035799286e-17,-0.603534201791152,-4.65463395652609e-17,0.561498258998315,-2.44349841220169e-17,-0.793784574874418,-0.331765906824965,5.68807688450246e-05,1.46597565616596e-06,-1.23000826831049,1.3462830917345e-06,3.11875067438017e-05,-0.180169206492886,1.13660872380628e-05,-1.80765033330369e-13,-0.880376585951977,0.0654791774721198,0.106294608143879,-3.87929906656952e-11,-0.963432094083294,0.0768760892705235,6.02550111101231e-14,-0.359910698998647,5.46939381912859,2.73052945721681,-3.09174086332575e-05,-8.49284572987349e-08,6.49621145623992,-4.97027824633038e-07,1.14954967767034e-05,0.348132178148441,-5.43849409950781e-06,-4.64725735754586e-14,0.111350529930827,-0.506287730660665,-1.69975539983649e-11,0.128971199963164,0.239480857760802,4.33744020037613e-13,0.084595393521431,-3.60780227295798,3.81907867362459,8.60705551275487e-05,5.29615969738695e-07,-9.05589356036196,1.80471506465517e-06,-1.37688738188757e-05,-0.616815248649649,2.18405205032468e-05,-1.58228048125966e-13,-0.675592623931741,0.0739922798314734,0.0618903323564975,-2.87020100410987e-11,-0.763381924975311,0.0769118572777789,8.64906230432145e-14,-0.298625276839503
-4.16666666666667,0,0,0,0,0,0,0.8,10000,0,-21.5,0,0.0579828702705763,-9.03825166651847e-18,-0.491461059149625,1.147061141426e-17,0.486991305571802,-1.32041121746144e-17,-0.643894268303885,-0.322481049198405,5.63098610101287e-05,1.46232341013737e-06,-1.04293289106193,1.33147262965467e-06,3.07757254403018e-05,-0.170368517595637,1.10021013133288e-05,1.00425018516872e-13,-0.876902908390116,0.0654791774721198,0.104019852972305,3.11246087899183e-11,-0.958536156863641,0.0806383690264185,-1.0712001975133e-13,-0.354717762402367,5.53842456645304,2.73333964419412,-3.20836351930254e-05,-8.42251160374617e-08,6.53933773685234,-5.2633371051942e-07,9.79211267626567e-06,0.362050316804474,-5.55132717572349e-06,1.30565801950098e-13,0.110422236404499,-0.501514625524546,4.37363962531028e-11,0.127392482446337,0.236926039017789,3.98336344932502e-14,0.0832074714014556,-3.65108670720482,3.81907867362459,8.6215293793046e-05,4.71824762770749e-07,-9.09493140570268,1.80899372399459e-06,-1.30717786595014e-05,-0.635178537469194,2.13723033715141e-05,1.4753197960463e-13,-0.672226051446468,0.0739922798314734,0.0612298973549821,3.75735404174383e-11,-0.758572781951612,0.0772381070335297,-6.12257715359216e-14,-0.294292631130194
-3,0,0,0,0,0,0,0.8,10000,0,-21.5,0,0.0466999281975035,-4.41870081474236e-17,-0.377687618494192,-2.8326140084089e-17,0.410628318614537,-3.98336344932502e-17,-0.512956010320989,-0.338247717732548,5.56148278124668e-05,1.4044479487475e-06,-0.868075095225591,1.31715670439917e-06,2.74817776868552e-05,-0.162879331521842,1.06325886289893e-05,2.67800049378325e-13,-0.874106946262516,0.0654791774721198,0.105612790284831,6.17981362930262e-11,-0.955061040038278,0.0875161833129702,3.28055060488448e-13,-0.349456031356721,5.59957067834349,2.73559253520075,-3.3270232124849e-05,-1.06995789371181e-07,6.55735671242839,-5.54232913883255e-07,8.41956893093965e-06,0.372336140260221,-5.64746027720275e-06,1.90131838715467e-13,0.109867710748722,-0.497883234234969,5.22351732522852e-11,0.126416959195268,0.234936005914821,2.78651026478246e-13,0.0818199229495079,-3.69169156205829,3.81907867362459,8.64051391546994e-05,4.5869572589365e-07,-9.0875294491629,1.81107444189252e-06,-1.31267924308176e-05,-0.647044805782704,2.08899864073686e-05,2.02118812058344e-13,-0.669718574572211,0.0739922798314734,0.0658233833790386,5.96405403451401e-11,-0.755405361373168,0.0796389563782273,2.8326140084089e-13,-0.289915949516672
-1.83333333333333,0,0,0,0,0,0,0.8,10000,0,-21.5,0,0.0367989527910784,1.70722531478682e-17,-0.262473647364017,-4.9607628142057e-18,0.333077939602805,2.27199248591131e-17,-0.361557371932608,-0.383962242338387,5.49246938208459e-05,1.46656543711942e-06,-0.653451405858789,1.29980761995443e-06,2.78363354588862e-05,-0.150738410329421,1.02584472166933e-05,-6.02550111101231e-14,-0.869236702613944,0.0654791774721198,0.0932087308648926,-2.25540643405205e-12,-0.948830623717773,0.0997395326277545,2.00850037033744e-13,-0.344062579750883,5.63907626184357,2.73866408016525,-3.43925637968923e-05,-1.12007095857752e-07,6.5670156529758,-5.81868364274114e-07,3.98767574516512e-06,0.381512253990191,-5.72681901900296e-06,-4.54121874720503e-14,0.10941778005097,-0.495081812328731,1.65937378397781e-11,0.125673275962382,0.231938328107383,2.25447306333326e-13,0.0804366967935533,-3.71507944056937,3.81907867362459,8.64978422221441e-05,4.07820707994891e-07,-9.07583331082962,1.81356544219286e-06,-7.52616025057051e-06,-0.657053593969281,2.0394387290068e-05,-1.00321746131149e-13,-0.665204396634513,0.0739922798314734,0.0565214610571889,-1.09340990632757e-11,-0.74947996184211,0.0872092700834074,1.28352822256028e-13,-0.285412102001713
-0.666666666666666,0,0,0,0,0,0,0.8,10000,0,-21.5,0,0.0305110430921596,1.00425018516872e-18,-0.14784956787697,-6.90634079524176e-18,0.25722611845396,2.65557563288335e-18,-0.204560325758295,-0.566090381019813,5.40941427415453e-05,1.42344182603761e-06,-0.480885510327878,1.28355201137683e-06,2.62685574334287e-05,-0.140197449824062,9.88035795540521e-06,3.69898818203811e-13,-0.865380709392232,0.0654791774721198,0.0971054009952917,-1.17281134570707e-11,-0.944860535002702,0.102802857842458,1.33900024689163e-13,-0.338642087838076,5.65961530404974,2.74314509537684,-3.5302139544946e-05,-1.14835113845788e-07,6.64710679864981,-6.09884791181495e-07,-8.13548395317554e-07,0.393433811279598,-5.78900816172734e-06,1.94557798103606e-13,0.108844463851015,-0.48670901735733,4.00088624815315e-12,0.124713245110466,0.225345148941084,1.90039631228214e-13,0.0790610548211139,-3.73348157211684,3.81907867362459,8.62344790020231e-05,3.62543114300431e-07,-9.18760224168095,1.81752173678752e-06,-1.15099596520452e-06,-0.672272006155827,1.98856570099437e-05,3.26045674926233e-13,-0.661700005275878,0.0739922798314734,0.0612943461791992,-6.16285583566448e-12,-0.745696236254275,0.0874812044592051,1.03272385723241e-13,-0.280899512631541
