alpha,alpha_dot,beta,beta_dot,P,Q,R,M,h,delta_a,delta_e,delta_r,CD,CC,CL,Cl,Cm,Cn,CD_a,CD_a_dot,CD_b,CD_P,CD_Q,CD_R,CD_delta_a,CD_delta_e,CD_delta_r,CC_a,CC_b,CC_b_dot,CC_P,CC_Q,CC_R,CC_delta_a,CC_delta_e,CC_delta_r,CL_a,CL_a_dot,CL_b,CL_P,CL_Q,CL_R,CL_delta_a,CL_delta_e,CL_delta_r,Cl_a,Cl_b,Cl_P,Cl_Q,Cl_R, Cl_delta_a,Cl_delta_e,Cl_delta_r,Cm_a,Cm_a_dot,Cm_b,Cm_P,Cm_Q,Cm_R,Cm_delta_a,Cm_delta_e,Cm_delta_r,Cn_a,Cn_b,Cn_b_dot,Cn_P,Cn_Q,Cn_R,Cn_delta_a,Cn_delta_e,Cn_delta_r

-10,0,0,0,0,0,0,0.75,10000,0,-21.5,0,0.109213117739207,-0.0415635817861069,-0.868911464814451,-0.0207570950095734,0.615917355282686,-0.0300574615545469,-1.01483400186231,-0.349852981206975,-0.152725903806994,-0.141688402336334,-1.24729554420691,-0.311825796378522,0.16277495090089,-0.090602212318297,-0.0190832623966908,0.112902093952413,-1.65200355643096,3.24334165021664,-0.0483715061487417,0.176353513154277,-1.79484667090151,0.302752589105906,0.094949441680689,-0.377003903571302,4.97862233533097,2.78346843916831,0.902250753730405,0.87381456261219,6.04903454919663,1.37765369159285,-0.786357115618586,-0.0919183744896301,0.0740461817716476,-0.00944825365133128,0.189395467326756,-0.421016628113289,-0.00390202666366271,0.195884758449669,0.174954583394213,0.0470072802874824,0.0733934252273791,-3.60277907699325,3.40592198186106,-1.36351372679422,-1.22069751922644,-9.12539373773209,-2.02537732169338,1.13366502858869,0.116335479178886,-0.118125813910464,0.121733966320231,-0.899913302331821,2.32903574894732,0.185908127074299,0.238024933600575,-0.940941559318764,0.0307019842902059,0.0662156783295953,-0.289757271901558
-8.83333333333333,0,0,0,0,0,0,0.75,10000,0,-21.5,0,0.0913799632450683,-0.0375029417368534,-0.766842791749795,-0.022570305912498,0.537673552471543,-0.0314906840843686,-0.878312394001074,-0.331753304585899,0.203084150254967,-0.0116955121206225,-1.07865888972144,-0.204304324082099,0.0196971241617216,-0.108543989230936,-0.00736554282107504,0.075906710824275,-0.728040784387513,3.24334165021664,0.0559959096908585,0.160772837723222,-1.98040597762361,0.120046583589051,0.0840950820812231,-0.357533259008405,5.0050382781508,2.7840088923936,-0.439331888161254,0.107835697141339,5.94434085599324,0.405763724018129,-0.0137003437128413,-0.0432147091355972,0.0169876812305958,-0.00542105144295257,0.135431852969145,-0.462904956566083,0.0122851704080662,0.155385258929572,0.208949471287231,0.0487622351718134,0.0700846978643477,-3.54326778737146,3.40592198186106,0.731864230669732,-0.177047478924296,-8.87476071124654,-0.704462105852183,0.0264758657264608,0.0450477098157265,-0.0340404384635562,0.100848569972792,-0.27338486924107,2.32903574894732,-0.0214611609231236,0.221738983198819,-1.6063493308586,0.135720374758314,0.0693720100058276,-0.291746393524667
-7.66666666666667,0,0,0,0,0,0,0.75,10000,0,-21.5,0,0.0741204249643136,-0.0388182679335823,-0.665026793160991,-0.0222051937161741,0.466715050231604,-0.0316087083755245,-0.751476381786187,-0.310447832823604,-0.0226439722239569,0.102490308109523,-0.949902070741298,0.100662421430382,-0.0473655171902287,-0.111372076496558,-0.00322532483373883,0.0777249572238292,-1.58262184616127,3.24334165021664,0.114028186589915,0.158375633528867,-1.51570501399418,0.190448164775411,0.0895571928985484,-0.358698458463105,5.07275146919839,2.78541477340237,-0.0349577308556004,-0.0552858163603456,5.92785646788481,-0.0926725997726894,0.0617189316387545,-0.0342094679628424,0.0115836099956468,-0.00788308242658659,0.201495895909599,-0.462010029827885,0.0136945074910486,0.128202369744793,0.203124226732555,0.0491999186817693,0.0695721790480372,-3.57613619078823,3.40592198186106,0.00965347194847865,0.136478557076908,-8.82094533515943,0.220322145674666,-0.120283473240002,0.0331203387760048,-0.0233260242843425,0.10151492630589,-0.983968433865764,2.32903574894732,0.0763842177978606,0.216697583628883,-1.14718015468368,0.153929478340017,0.0717215585751413,-0.290460654707309
-6.5,0,0,0,0,0,0,0.75,10000,0,-21.5,0,0.0594280373174461,-0.0296877454152252,-0.565056868778213,-0.0224685165881217,0.401186925288771,-0.0241763895221554,-0.622770858651686,-0.293078865125809,-0.570939081800531,0.263833493834078,-0.817379467308467,0.623771735773548,-0.134837642915414,-0.114718537729958,0.00165534237199505,0.0916132951796558,-2.35518207763151,3.24334165021664,0.669301991798469,0.185588068714846,-0.0751527294305084,-0.228477033017774,0.068410180816339,-0.328494459952526,5.14560312229406,2.78666826818535,0.641738352551435,-0.327353644670755,5.90610735015559,-0.91798086469547,0.226775525772327,-0.019308756296077,0.00191042713981737,-0.0108439308250247,0.23035341487232,-0.493728047507955,0.0187136395228212,0.0588146719322691,0.225390326487329,0.0513039980409163,0.0671623400359117,-3.62970712118715,3.40592198186106,-1.46026735140747,0.690867242119764,-8.74907037505886,1.94737889779327,-0.453083554134981,0.00874740228917759,-0.00358292693236617,0.113118203429637,-1.43527601228568,2.32903574894732,0.501334897293778,0.234198753466925,-0.108492886397409,-0.176797429049386,0.0549747202656728,-0.266315203531001
-5.33333333333333,0,0,0,0,0,0,0.75,10000,0,-21.5,0,0.0457835624595484,-0.0366814390730669,-0.461497775744933,-0.0219371057583704,0.33060901693932,-0.0291238832407808,-0.496668104698478,-0.276616615297441,0.0309282689667928,0.0541504391092838,-0.706872134233332,-0.0468795919491377,-0.00139414417718586,-0.107647757863483,-0.00505731819977484,0.0714838324780698,-2.08502581749384,3.24334165021664,0.18748724563603,0.158949035262745,-1.1103269018572,0.148935022435126,0.0892404923491519,-0.345866601051542,5.25345668255017,2.78829225678216,0.0448203007330505,-0.0324397411893407,5.90110895574815,-0.125339696794016,0.0423170822838603,-0.0268826247307175,0.0117100495888867,-0.0160412047893466,0.187486774350064,-0.463597283154625,0.0236497194125185,0.129098734683651,0.205079066976435,0.0520301771252812,0.0670822473584215,-3.77127297996216,3.40592198186106,-0.0602144060918297,0.0582349782227048,-8.70157314780767,0.208344720398991,-0.0580867855165534,0.0300093669491908,-0.0236321562774311,0.0986493690548207,-1.23420654068885,2.32903574894732,0.155839370024934,0.207343614475315,-0.884191577247502,0.0974697085400975,0.0700488182471537,-0.278711270791064
-4.16666666666667,0,0,0,0,0,0,0.75,10000,0,-21.5,0,0.0374291113051301,-0.0377824204508152,-0.352457093305204,-0.022583068040441,0.248440298417714,-0.0290540067150183,-0.372044227646834,-0.2960488802351,0.0622916697325115,0.113328231593992,-0.544220392059211,0.0741267724218619,-0.0729360406433177,-0.113693035124277,-0.000796395765931268,0.0655476069666427,-2.29637543664375,3.24334165021664,0.0880499884326563,0.15113659529891,-1.18912251041909,0.212751096953165,0.0936917985530639,-0.344787819927736,5.28512889378885,2.78779068392206,0.0855760533480243,-0.00821396171589889,5.92291856908913,-0.127846858457039,0.0133033619703626,-0.0205549037035624,0.0122339410013605,-0.0112566208348985,0.193982104610829,-0.455636911573501,0.0261326180830729,0.136357377662329,0.201609640254202,0.0527776478011915,0.0661835322876211,-3.73621379838568,3.40592198186106,-0.134049618883691,0.0248136270168744,-8.76632209641167,0.21740548401686,-0.0217388887813197,0.0219408100962659,-0.0241501173825487,0.0925951078167495,-1.2535189048957,2.32903574894732,0.080788191013067,0.204298058875876,-1.01212078785336,0.130740390105119,0.0712934908418325,-0.276630606933954
-3,0,0,0,0,0,0,0.75,10000,0,-21.5,0,0.0301816371727498,-0.0391273248074974,-0.240709491777104,-0.0231434265040084,0.162664905589834,-0.0310421067289017,-0.264846162661356,-0.349508994294687,-0.514677925931538,0.0359085950221991,-0.385708597140646,0.110170734864276,0.0860703062387572,-0.109683304832867,-0.0109417296320288,0.0555592765090485,-8.87752504444672,3.24334165021664,0.950130997324658,0.143195838147419,3.1703339388566,0.184902987590552,0.095003718246639,-0.35148957116482,5.3070462775856,2.78746086259893,1.38809062788903,0.0599909868454893,5.91762867738322,-0.605956472576197,-0.217768120047979,-0.0230910315382471,0.0253789575835328,-0.00632754161230403,0.631864238583857,-0.520012180393588,0.0306534695534239,-0.156300245039531,0.209894995234008,0.0528559134817946,0.0657627353852636,-3.71186448374139,3.40592198186106,-3.05341786827673,-0.151659476165255,-8.75084681583291,1.23245558766589,0.503087552543025,0.0361152406400111,-0.0547871939801658,0.0812074497738222,-6.65723455547117,2.32903574894732,0.696353897961673,0.198943281413216,2.40812543260559,0.173311368551129,0.075036864341238,-0.286293319244416
-1.83333333333333,0,0,0,0,0,0,0.75,10000,0,-21.5,0,0.0290545758287864,-0.0242778987669444,-0.137622799542257,-0.0242561964234313,0.0975410751705032,-0.0183377258505127,-0.156039810383576,-0.58786729162197,-0.281468206617501,0.221669968850231,-0.218169884555845,0.444274813408376,-0.154361523362137,-0.125650328093134,0.0030834334589433,0.0988003103193427,-2.15492291232369,3.24334165021664,0.703238384549691,0.203506190390011,0.313265350542271,-0.439986299281478,0.0558446401164453,-0.294992387602118,5.3084531875025,2.78455080222451,0.491994220760961,-0.268892869121392,5.94802623488404,-0.990293103378905,0.228888024430551,0.00861379391842165,-0.00224499663137312,-0.00131654443461665,0.13295640401572,-0.485747661346713,0.0293189789840304,0.0891936368103879,0.241116217638421,0.0551833014151085,0.0617418211403334,-3.67283886009068,3.40592198186106,-1.08549830620489,0.560928595189367,-8.79387793974657,2.04609207753502,-0.470627029615783,-0.0266035364678008,0.00532060464852879,0.115320674098779,-1.68045833657652,2.32903574894732,0.587887587126652,0.252743844103186,0.447281988449756,-0.358778683051848,0.0420830341863257,-0.240187817815082
-0.666666666666666,0,0,0,0,0,0,0.75,10000,0,-21.5,0,0.025411431676326,-0.0365425698278607,-0.0252987806167785,-0.0236860575357423,0.0138653100808638,-0.0271422998817615,-0.0285589826483357,-2.78208305900943,0.00752163782705845,0.0989390739907557,-0.0546400821560721,0.0225989405688267,-0.0465756356357941,-0.118827730193755,-0.00224085970192828,0.0655596086947957,-1.33157677381555,3.24334165021664,0.17195443968082,0.14876141976679,-1.59866782341382,0.174418910126178,0.0868980857241658,-0.321739261265538,5.2720459786304,2.76974984581868,-0.208816982184452,0.0126411409840129,6.00917828854771,-0.0232824404031223,-0.0343601417834155,0.00155394221188626,0.00923656622693614,0.00380430653017932,0.132243460081241,-0.461329642175642,0.0252617061957537,0.160094453689235,0.208842953012232,0.0535278251029628,0.0623454864850936,-3.6094808687399,3.40592198186106,0.375721772710325,-0.0272524312200323,-8.89113407671081,0.035276739801547,0.0715785271601134,-0.00577180844138145,-0.0184966515721224,0.086723554961407,-0.604710373698081,2.32903574894732,0.136600224523778,0.206781425558413,-1.29166991647108,0.104293157088299,0.0645604004035141,-0.25920372474942
